"lat","richness","elev","habitat"
41.97,6,389,1
42,16,8,1
42.03,18,152,1
42.05,17,1,1
42.05,9,210,1
42.17,15,78,1
42.19,7,47,1
42.23,12,491,1
42.27,14,121,1
42.31,9,95,1
42.56,10,274,1
42.57,10,335,1
42.58,4,543,1
42.69,5,323,1
43.33,7,158,1
44.06,7,313,1
44.29,4,468,1
44.33,6,362,1
44.5,6,236,1
44.55,8,30,1
44.76,6,353,1
44.95,6,133,1
41.97,5,389,0
42,6,8,0
42.03,14,152,0
42.05,7,1,0
42.05,4,210,0
42.17,8,78,0
42.19,2,47,0
42.23,3,491,0
42.27,4,121,0
42.31,8,95,0
42.56,8,274,0
42.57,4,335,0
42.58,2,543,0
42.69,7,323,0
43.33,2,158,0
44.06,3,313,0
44.29,3,468,0
44.33,2,362,0
44.5,3,236,0
44.55,2,30,0
44.76,5,353,0
44.95,5,133,0
