"Age","ObsL"
1,243
1,247
2,330
2,320
2,285
2,280
2,265
2,260
2,248
2,232
2,218
2,216
2,200
2,255
2,236
2,248
2,260
2,258
2,245
3,396
3,375
3,360
3,356
3,352
3,348
3,342
3,338
3,334
3,328
3,219
3,301
3,294
3,270
3,267
3,250
3,246
3,239
3,270
3,342
3,352
3,356
4,400
4,382
4,370
4,365
4,362
4,350
4,341
4,338
4,325
4,315
4,287
4,281
4,268
4,325
4,362
4,341
5,445
5,435
5,433
5,432
5,426
5,417
5,412
5,401
5,398
5,368
5,350
5,297
5,290
5,364
5,361
5,353
5,345
5,338
5,332
5,328
5,327
5,322
5,320
5,318
5,315
5,310
5,433
5,432
5,426
5,417
5,412
5,338
5,332
5,328
5,327
5,322
5,353
5,345
5,338
5,332
5,328
5,350
5,401
5,433
6,409
6,400
6,394
6,389
6,377
6,357
6,351
6,350
6,338
6,327
6,318
6,314
6,343
6,331
6,394
7,460
7,443
7,435
7,429
7,423
7,408
7,404
7,395
7,390
7,386
7,378
7,370
7,367
7,361
7,325
7,304
7,297
7,272
7,317
7,319
7,324
7,330
7,334
7,337
7,340
7,344
7,350
7,361
7,370
7,378
7,337
8,439
8,435
8,428
8,423
8,415
8,410
8,392
8,377
8,358
8,342
8,340
8,353
8,346
8,337
8,335
8,410
8,423
8,423
8,428
8,439
8,335
8,342
8,423
8,358
9,496
9,487
9,475
9,470
9,468
9,464
9,460
9,458
9,448
9,433
9,427
9,420
9,414
9,410
9,394
9,390
9,386
9,376
9,352
9,340
9,328
9,319
9,414
9,386
9,433
9,468
9,475
9,390
9,448
9,420
9,475
9,340
10,480
